DateTime,AddedIPs,RemovedIPs
1590607521,0,7
1590608120,0,6
1590608421,625,7
1590608721,0,6
1590609019,0,4
1590610218,5,0
1590612023,0,1
1590613821,4,1
1590617120,0,1
1590617419,7,0
1590618919,1,0
1590621322,14,0
1590624619,4,0
1590628218,1,0
1590628819,1,0
1590629718,1,0
1590630018,1,0
1590631220,3,0
1590631819,2,0
1590632720,1,0
1590634518,1,0
1590634821,1,0
1590635419,4,0
1590638719,0,1
1590639321,2,0
1590642022,1,0
1590642319,0,1
1590642618,3,0
1590644419,0,4
1590644721,0,3
1590645019,1,0
1590645922,0,3
1590646221,6,0
1590649820,1,0
1590650120,4,0
1590653122,0,1
1590653721,1,0
1590655820,72,0
1590656721,0,2
1590657318,5,0
1590660624,164,0
1590662722,0,1
1590664522,49,0
1590666622,1,0
1590667521,2,0
1590667823,3,0
1590668722,1,0
1590671122,0,1
1590671720,3,0
1590675020,3,0
1590676520,0,2
1590677721,1,0
1590678620,2,0
1590679221,0,1
1590682221,1,0
1590685525,1,3
1590685820,1,0
1590686120,0,1
1590689123,0,2
1590689720,4,0
1590693023,5,0
1590694225,1,0
1590696621,2,0
1590697824,1,0
1590700218,2,0
1590703820,3,0
1590707419,3,0
1590713123,1,0
1590714318,1,0
1590714619,3,0
1590716118,1,0
1590718219,3,0
1590720321,21,0
1590720622,1,0
1590721522,1,2
1590721819,1,0
1590723024,1,0
1590727522,1,0
1590732318,0,4
1590736821,1,0
1590739525,0,1
1590740124,1,0
1590741623,45,0
1590743119,1,1
1590743419,15,0
1590745521,20,0
1590746721,1,3
1590747023,1,0
1590749719,9,0
1590750021,0,2
1590750321,0,1
1590751522,1,0
1590753319,1,0
1590753920,0,3
1590754221,1,0
1590757820,1,0
1590761421,1,0
1590762621,1,0
1590762919,25,0
1590764722,0,2
1590765019,3,0
1590765621,1,0
1590768620,1,0
1590771021,1,0
1590771921,0,2
1590775519,1,1
1590775820,1,0
1590777622,1,0
1590779122,0,1
1590779420,2,0
1590780022,1,0
1590783023,1,0
1590798321,1,0
1590801019,6,0
1590807920,1,0
1590811224,1,0
1590813620,12,0
1590814517,1,0
1590815119,1,1
1590819018,1,0
1590819621,1,0
1590821419,0,8
1590821719,1,0
1590822319,0,1
1590825919,0,2
1590828619,1,0
1590829520,1,2
1590829821,1,0
1590833420,0,1
1590840321,0,1
1590841522,1,0
1590843922,0,1
1590847523,0,1
1590852918,0,1
1590853221,1,1
1590853522,1,0
1590854722,1,0
1590855920,2,0
1590858021,1,0
1590858321,0,1
1590858623,1,0
1590859221,2,0
1590860421,1,0
1590861319,1,0
1590865220,0,1
1590867021,1,0
1590867919,1,0
1590869120,2,2
1590869421,165,0
1590872721,1,0
1590873018,73,0
1590876319,2,0
1590876620,25,0
1590877519,1,0
1590878118,1,0
1590878421,0,1
1590880220,14,0
1590880523,0,1
1590882918,1,0
1590883519,2,0
1590883818,5,0
1590884420,1,0
1590886220,1,0
1590887118,0,1
1590887417,10,0
1590888321,1,0
1590889518,1,0
1590890420,1,0
1590890718,1,1
1590891018,2,0
1590894619,3,0
1590901518,24,0
1590901818,1,0
1590904518,0,1
1590905417,2,0
1590909018,2,0
1590912019,1,0
1590912319,3,1
1590912619,1,0
1590915918,0,1
1590919522,3,0
1590919818,87,0
1590921022,3,0
1590923418,22,0
1590924623,1,0
1590925219,0,2
1590926719,1,1
1590927021,12,0
1590930324,0,1
1590930619,3,0
1590932120,1,0
1590933919,0,1
1590934219,4,0
1590937220,1,0
1590941120,1,0
1590944421,1,0
1590944720,0,1
1590945321,1,0
1590946519,57,0
1590946822,2,0
1590947421,1,0
1590947720,1,0
1590952218,0,2
1590952520,1,0
1590952824,1,0
1590953120,1,0
1590956421,41,0
1590956719,1,0
1590957020,1,0
1590957920,2,0
1590958518,1,0
1590959420,1,0
1590960020,1,0
1590960619,1,0
1590960918,1,0
1590962421,1,0
1590964221,1,0
1590964818,1,0
1590965419,2,0
1590965717,1,0
1590968418,1,0
1590969620,1,0
1590970519,1,0
1590970820,1,0
1590971419,1,0
1590974121,1,0
1590975318,1,0
1590975921,1,0
1590978321,1,0
1590979220,1,0
1590981620,1,0
1590982519,1,0
1590983421,1,0
1590983718,1,0
1590984321,0,1
1590986720,10,0
1590987019,14,0
1590987919,0,1
1590991520,0,1
1590993919,1,0
1590994820,1,0
1591001123,1,0
1591002321,0,1
1591005920,0,1
1591006818,1,0
1591009522,0,1
1591012821,1,0
1591013121,0,1
1591020320,0,2
1591020621,0,4
1591020921,0,5
1591023921,0,5
1591025720,1,0
1591027526,0,2
1591027821,0,1
1591031122,0,1
1591034723,0,1
1591039521,13,0
1591041919,0,1
1591043123,1,0
1591050620,1,0
1591052422,1,0
1591053918,320,0
1591055117,0,1
1591056317,0,1
1591056615,0,1
1591066215,1,0
1591067117,0,2
1591067416,1,0
1591081518,0,1
1591089917,1,0
1591092315,0,1
1591095017,1,0
1591095316,0,1
1591095916,0,1
1591097716,1,0
1591099516,0,1
1591103120,0,1
1591103416,1,0
1591105216,194,0
1591105516,1,0
1591106718,0,4
1591107917,1,0
1591110318,0,2
1591111216,1,0
1591113917,0,1
1591115118,1,0
1591117516,0,3
1591124719,2,0
1591125318,1,0
1591125919,1,0
1591126516,187,0
1591131616,1,0
1591133417,1,0
1591136718,1,0
1591143617,17,0
1591144516,1,0
1591146320,0,3
1591151717,1,0
1591153218,1,0
1591158617,0,4
1591158916,0,3
1591159217,6,0
1591161617,1,0
1591167917,1,0
1591171515,0,4
1591173016,1,0
1591174817,1,0
1591181119,9,1
1591182316,0,1
1591185018,1,0
1591185316,1,0
1591186217,0,1
1591191018,1,0
1591193116,0,1
1591197016,0,1
1591200319,1,1
1591201216,1,0
1591201517,1,0
1591202117,1,0
1591202417,1,0
1591206315,1,0
1591208416,0,1
1591209617,1,0
1591212318,1,0
1591214716,8,0
1591216817,5,0
1591217117,1,0
1591217416,33,0
1591218318,1,0
1591218916,1,0
1591219816,0,1
1591221617,1,0
1591224319,1,0
1591225816,277,0
1591227916,1,0
1591230316,1,0
1591234516,1,0
1591236918,1,0
1591239017,2,0
1591240216,0,1
1591245018,12,0
1591247116,1,1
1591247417,1,0
1591248618,0,3
1591256417,1,0
1591257915,0,1
1591259117,3,0
1591260916,1,0
1591261517,0,1
1591261816,3,0
1591263016,0,1
1591265116,0,1
1591267819,1,0
1591271117,1,0
1591272318,15,0
1591278017,1,0
1591279517,0,3
1591281018,1,0
1591281618,1,0
1591283118,0,2
1591283415,1,0
1591283716,0,1
1591286717,0,1
1591287616,2,0
1591288217,63,0
1591288515,1,0
1591289715,1,0
1591290317,0,1
1591290916,37,0
1591291216,10,0
1591291516,1,0
1591291817,1,0
1591292116,13,0
1591292718,2,0
1591293617,2,0
1591294218,14,0
1591295118,3,0
1591295417,1,0
1591296017,1,0
1591297517,2,1
1591297817,8,0
1591298718,2,0
1591300817,1,0
1591301117,45,0
1591301417,203,0
1591302316,2,0
1591304717,9,1
1591305017,29,0
1591305616,1,0
1591306516,1,0
1591306817,1,0
1591307416,1,0
1591308317,3,0
1591308616,17,0
1591310116,1,0
1591311917,2,0
1591312216,7,0
1591312516,1,0
1591314916,1,0
1591315219,1,0
1591315517,3,0
1591315817,11,0
1591316117,1,0
1591316716,10,0
1591317617,1,0
1591319118,2,0
1591319416,1,0
1591321216,1,0
1591322417,1,0
1591322716,7,0
1591323316,2,0
1591325117,1,0
1591326316,1,0
1591326618,3,0
1591329918,1,0
1591330216,2,0
1591333515,1,1
1591334115,0,1
1591334417,0,2
1591334719,8,0
1591337116,1,1
1591338322,1,0
1591338618,12,0
1591341018,1,0
1591341916,3,0
1591342218,1,0
1591345517,5,0
1591347916,0,1
1591349118,19,0
1591351517,1,0
1591353315,6,0
1591353617,4,0
1591353918,0,1
1591354217,0,1
1591355119,0,1
1591355416,1,0
1591356917,15,0
1591358716,1,0
1591359317,1,0
1591361415,0,1
1591362318,0,1
1591362617,1,0
1591363217,1,0
1591363518,2,0
1591365918,0,1
1591366517,1,0
1591367117,1,0
1591369516,0,1
1591373118,1,1
1591374318,2,0
1591376718,2,5
1591377016,2,0
1591377916,1,0
1591380616,1,0
1591381518,2,0
1591383916,0,1
1591385117,1,0
1591387815,1,0
1591388416,11,1
1591388718,1,0
1591394716,1,0
1591401917,0,1
1591405816,2,0
1591423517,1,0
1591424722,4,0
1591425316,1,0
1591425617,16,0
1591426816,1,0
1591428618,8,0
1591430719,0,1
1591431017,2,0
1591431917,5,0
1591435516,3,0
1591439118,3,0
1591442718,3,0
1591448716,0,3
1591453516,1,0
1591457118,1,0
1591459517,0,2
