DateTime,Entries,UniqueIPs
1580335707,105,105
1580357547,112,112
1580379614,107,107
1580401469,106,106
1580423535,106,106
1580445383,107,107
1580467481,106,106
1580489530,105,105
1580511389,106,106
1580544387,108,108
1580566339,109,109
1580588416,110,110
1580610266,111,111
1580632335,112,112
1580654193,111,111
1580676277,107,107
1580698328,104,104
1580720174,103,103
1580742349,103,103
1580764360,105,105
1580786539,105,105
1580808493,100,100
1580830341,103,103
1580852184,102,102
1580874041,98,98
1580896097,95,95
1580917938,97,97
1580939791,97,97
1580961823,92,92
1580983707,92,92
1581005559,94,94
1581027625,93,93
1581049502,96,96
1581071541,93,93
1581093385,93,93
1581115531,96,96
1581137545,93,93
1581159879,94,94
1581181942,93,93
1581204021,88,88
1581225888,91,91
1581247939,90,90
1581269786,91,91
1581291637,92,92
1581313711,93,93
1581335560,94,94
1581357932,95,95
1581379949,93,93
1581402029,94,94
1581424099,93,93
1581445956,97,97
1581468014,99,99
1581489869,100,100
1581511936,99,99
1581534235,102,102
1581556096,102,102
1581577946,100,100
1581599787,102,102
1581621858,102,102
1581643932,103,103
1581665799,102,102
1581687669,101,101
1581709706,102,102
1581731783,100,100
1581753684,100,100
1581775701,101,101
1581797568,96,96
1581819620,95,95
1581841698,99,99
1581863551,97,97
1581885402,97,97
1581907478,96,96
1581929532,93,93
1581951392,97,97
1581973490,93,93
1581995571,92,92
1582017632,89,89
1582039475,90,90
1582061541,93,93
1582083392,93,93
1582105240,98,98
1582127301,96,96
1582149152,99,99
1582171414,99,99
1582193349,97,97
1582215400,98,98
1582237471,98,98
1582259537,100,100
1582281408,98,98
1582303454,100,100
1582325444,98,98
1582347375,97,97
1582369508,95,95
1582391536,94,94
1582413382,93,93
1582435475,91,91
1582457558,92,92
1582479617,90,90
1582501712,91,91
1582523820,90,90
1582556922,89,89
1582578977,89,89
1582600820,88,88
1582622670,87,87
1582644736,88,88
1582666588,83,83
1582688656,83,83
1582710758,81,81
1582743875,82,82
1582765744,80,80
1582787620,82,82
1582809609,82,82
1582831481,81,81
1582853546,77,77
1582875625,77,77
1582897472,75,75
1582919318,75,75
1582941401,78,78
1582963404,80,80
1582985293,80,80
1583007142,80,80
1583028989,82,82
1583051078,84,84
1583073188,84,84
1583095221,87,87
1583117064,87,87
1583139129,85,85
1583160987,85,85
1583183073,86,86
1583205163,87,87
1583227214,87,87
1583249102,85,85
1583271136,88,88
1583293230,85,85
1583315079,87,87
1583337135,85,85
1583359550,87,87
1583381536,84,84
1583403376,83,83
1583425221,80,80
1583447292,79,79
1583469138,82,82
1583491221,82,82
1583513302,81,81
1583535372,81,81
1583557374,82,82
1583579327,80,80
1583601383,82,82
1583623468,82,82
1583645556,79,79
1583667614,77,77
1583689486,73,73
1583711533,71,71
1583733401,71,71
1583755393,74,74
1583777333,74,74
1583799405,75,75
1583821489,75,75
1583843565,76,76
1583865620,77,77
1583887703,80,80
1583909789,80,80
1583931862,82,82
1583953713,83,83
1583975774,86,86
1583997615,86,86
1584019476,88,88
1584041598,89,89
1584063629,90,90
1584085705,92,92
1584107780,95,95
1584140676,95,95
1584162734,95,95
1584184599,95,95
1584206653,94,94
1584228733,93,93
1584272432,95,95
1584294302,99,99
1584316354,98,98
1584338195,97,97
1584371089,93,93
1584392935,93,93
1584414981,91,91
1584437075,89,89
1584459177,87,87
1584481215,86,86
1584503251,85,85
1584525150,84,84
1584547513,81,81
1584569568,80,80
1584591684,76,76
1584613703,73,73
1584635551,69,69
1584657623,71,71
1584679486,71,71
1584701550,70,70
1584723407,69,69
1584745502,66,66
1584767534,64,64
1584789661,62,62
1584811693,61,61
1584833536,59,59
1584855455,61,61
1584877476,60,60
1584899532,57,57
1584921397,57,57
1584943299,58,58
1584965290,59,59
1584987146,59,59
